20070531 00:00,1.34411,1.34771,1.34331,1.34371,0,1.34419,1.34779,1.34339,1.34379,0
20070601 00:00,1.34361,1.34631,1.33921,1.34461,0,1.34369,1.34629,1.33929,1.34469,0
20070603 00:00,1.34451,1.34561,1.34321,1.34471,0,1.34459,1.34569,1.34329,1.34469,0
20070604 00:00,1.34481,1.35141,1.34481,1.35111,0,1.34479,1.35139,1.34479,1.35119,0
20070605 00:00,1.35101,1.35541,1.35051,1.35221,0,1.35109,1.35539,1.35059,1.35219,0
20070606 00:00,1.35211,1.35301,1.34851,1.34991,0,1.35219,1.35309,1.34859,1.34999,0
20070607 00:00,1.34981,1.34991,1.33821,1.33921,0,1.34989,1.34999,1.33829,1.33919,0
20070608 00:00,1.33911,1.33941,1.33201,1.33681,0,1.33919,1.33939,1.33209,1.33689,0
20070610 00:00,1.33471,1.33601,1.33331,1.33451,0,1.33479,1.33609,1.33339,1.33459,0
20070611 00:00,1.33441,1.33691,1.33361,1.33431,0,1.33449,1.33699,1.33369,1.33439,0
20070612 00:00,1.33441,1.33511,1.32731,1.32751,0,1.33439,1.33509,1.32739,1.32759,0
20070613 00:00,1.32741,1.33161,1.32631,1.33001,0,1.32749,1.33169,1.32639,1.33009,0
20070614 00:00,1.33011,1.33301,1.32791,1.33171,0,1.33019,1.33309,1.32799,1.33179,0
20070615 00:00,1.33161,1.33861,1.33081,1.33791,0,1.33169,1.33869,1.33089,1.33799,0
20070617 00:00,1.33851,1.34061,1.33841,1.33981,0,1.33849,1.34059,1.33849,1.33989,0
20070618 00:00,1.33991,1.34371,1.33941,1.33971,0,1.33989,1.34369,1.33949,1.33979,0
20070619 00:00,1.33981,1.34371,1.33841,1.34171,0,1.33979,1.34379,1.33849,1.34179,0
20070620 00:00,1.34161,1.34351,1.33721,1.33861,0,1.34169,1.34349,1.33729,1.33869,0
20070621 00:00,1.33871,1.34241,1.33731,1.34211,0,1.33879,1.34239,1.33739,1.34219,0
20070622 00:00,1.34221,1.34691,1.34151,1.34661,0,1.34219,1.34689,1.34159,1.34669,0
20070624 00:00,1.34721,1.34731,1.34391,1.34531,0,1.34719,1.34739,1.34399,1.34539,0
20070625 00:00,1.34541,1.34731,1.34321,1.34541,0,1.34539,1.34739,1.34329,1.34549,0
20070626 00:00,1.34531,1.34791,1.34151,1.34261,0,1.34539,1.34789,1.34159,1.34269,0
20070627 00:00,1.34271,1.34821,1.34271,1.34541,0,1.34269,1.34819,1.34269,1.34549,0
20070628 00:00,1.34531,1.34741,1.34231,1.34621,0,1.34539,1.34749,1.34239,1.34609,0
20070629 00:00,1.34631,1.35401,1.34571,1.35341,0,1.34639,1.35399,1.34579,1.35349,0
20070701 00:00,1.35319,1.35789,1.35279,1.35719,0,1.35331,1.35801,1.35291,1.35731,0
20070702 00:00,1.35731,1.36381,1.35681,1.36031,0,1.35729,1.36389,1.35689,1.36039,0
20070703 00:00,1.36041,1.36311,1.35841,1.36161,0,1.36039,1.36309,1.35849,1.36169,0
20070704 00:00,1.36171,1.36501,1.36041,1.36451,0,1.36169,1.36499,1.36049,1.36449,0
20070705 00:00,1.36441,1.36591,1.35761,1.35951,0,1.36449,1.36589,1.35769,1.35949,0
20070706 00:00,1.35941,1.36411,1.35671,1.36241,0,1.35949,1.36409,1.35689,1.36249,0
20070708 00:00,1.36231,1.36381,1.36101,1.36341,0,1.36239,1.36379,1.36109,1.36349,0
20070709 00:00,1.36351,1.36541,1.35941,1.36481,0,1.36349,1.36539,1.35949,1.36479,0
20070710 00:00,1.36471,1.37871,1.36421,1.37381,0,1.36479,1.37889,1.36429,1.37389,0
20070711 00:00,1.37391,1.37941,1.37331,1.37871,0,1.37389,1.37939,1.37339,1.37879,0
20070712 00:00,1.37861,1.37981,1.37571,1.37821,0,1.37869,1.37989,1.37579,1.37829,0
20070713 00:00,1.37831,1.38141,1.37641,1.37871,0,1.37829,1.38139,1.37649,1.37879,0
20070715 00:00,1.37781,1.37921,1.37591,1.37921,0,1.37789,1.37919,1.37599,1.37919,0
20070716 00:00,1.37911,1.38041,1.37681,1.37851,0,1.37919,1.38029,1.37699,1.37859,0
20070717 00:00,1.37861,1.38331,1.37571,1.37861,0,1.37869,1.38329,1.37579,1.37859,0
20070718 00:00,1.37851,1.38221,1.37521,1.38171,0,1.37859,1.38219,1.37529,1.38179,0
20070719 00:00,1.38181,1.38311,1.37821,1.37921,0,1.38189,1.38309,1.37829,1.37929,0
20070720 00:00,1.37931,1.38431,1.37801,1.38261,0,1.37929,1.38429,1.37799,1.38269,0
20070722 00:00,1.38391,1.38431,1.38131,1.38171,0,1.38389,1.38429,1.38139,1.38169,0
20070723 00:00,1.38161,1.38331,1.37951,1.38161,0,1.38169,1.38329,1.37959,1.38169,0
20070724 00:00,1.38171,1.38521,1.37321,1.37321,0,1.38169,1.38519,1.37319,1.37319,0
